Journal	ISSN	eISSN	Category	IF(2024)	IF Quartile(2024)	IF Rank(2024)	id
Influenza and Other Respiratory Viruses	1750-2640	1750-2659	INFECTIOUS DISEASES(SCIE);VIROLOGY(SCIE)	4.2	1	25/137	10974
Industry and Innovation	1366-2716	1469-8390	ECONOMICS(SSCI);MANAGEMENT(SSCI)	4.2	1	68/617	10975
EUROPEAN JOURNAL OF MECHANICS A-SOLIDS	0997-7538	1873-7285	MECHANICS(SCIE)	4.2	1	29/171	10976
IMAGE AND VISION COMPUTING	0262-8856	1872-8138	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);OPTICS(SCIE)"	4.2	1	22/128	10977
OPTICAL MATERIALS	0925-3467	1873-1252	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);OPTICS(SCIE)"	4.2	1	29/125	10978
ADVANCES IN WATER RESOURCES	0309-1708	1872-9657	WATER RESOURCES(SCIE)	4.2	1	30/131	10979
Brodogradnja	0007-215X	1845-5859	"ENGINEERING, MARINE(SCIE)"	4.2	1	45802	10980
M&SOM-Manufacturing & Service Operations Management	1523-4614	1526-5498	MANAGEMENT(SSCI);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)	4.2	2	28/106	10981
DRUG DEVELOPMENT RESEARCH	0272-4391	1098-2299	"CHEMISTRY, MEDICINAL(SCIE);PHARMACOLOGY & PHARMACY(SCIE)"	4.2	1	75/352	10982
Geomechanics and Geophysics for Geo-Energy and Geo-Resources	2363-8419	2363-8427	"ENERGY & FUELS(SCIE);ENGINEERING, GEOLOGICAL(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE)"	4.2	1	43/258	10983
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH	1383-5742	1388-2139	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);GENETICS & HEREDITY(SCIE);TOXICOLOGY(SCIE)	4.2	1	21/106	10984
Nondestructive Testing and Evaluation	1058-9759	1477-2671	"MATERIALS SCIENCE, CHARACTERIZATION & TESTING(SCIE)"	4.2	1	6/37	10985
ONCOLOGIST	1083-7159	1549-490X	ONCOLOGY(SCIE)	4.2	2	89/326	10986
European Transport Research Review	1867-0717	1866-8887	TRANSPORTATION(SSCI);TRANSPORTATION SCIENCE & TECHNOLOGY(SCIE)	4.2	2	20/61	10987
Zeitschrift fur Medizinische Physik	0939-3889	1876-4436	"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)"	4.2	1	30/212	10988
Australian Prescriber	0312-8008	1839-3942	PHARMACOLOGY & PHARMACY(ESCI)	4.2	1	75/352	10989
Creativity and Innovation Management	0963-1690	1467-8691	MANAGEMENT(SSCI)	4.2	2	121/420	10990
Stem Cell Reviews and Reports	2629-3269	2629-3277	"CELL & TISSUE ENGINEERING(SCIE);CELL BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)"	4.2	2	56/195	10991
SYSTEMATIC AND APPLIED MICROBIOLOGY	0723-2020	1618-0984	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);MICROBIOLOGY(SCIE)	4.2	2	45/177	10992
DYES AND PIGMENTS	0143-7208	1873-3743	"CHEMISTRY, APPLIED(SCIE);ENGINEERING, CHEMICAL(SCIE);MATERIALS SCIENCE, TEXTILES(SCIE)"	4.2	1	4/31	10993
JOURNAL OF MOLECULAR MEDICINE-JMM	0946-2716	1432-1440	"GENETICS & HEREDITY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)"	4.2	1	40/191	10994
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE	0925-4439	1879-260X	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);BIOPHYSICS(SCIE)	4.2	1	14/79	10995
Bulletin of Engineering Geology and the Environment	1435-9529	1435-9537	"ENGINEERING, ENVIRONMENTAL(SCIE);ENGINEERING, GEOLOGICAL(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE)"	4.2	1	43/258	10996
FASEB JOURNAL	0892-6638	1530-6860	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	4.2	1	17/107	10997
MOLECULAR NUTRITION & FOOD RESEARCH	1613-4125	1613-4133	FOOD SCIENCE & TECHNOLOGY(SCIE)	4.2	2	52/181	10998
ELECTRIC POWER SYSTEMS RESEARCH	0378-7796	1873-2046	"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)"	4.2	2	108/366	10999
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE	1582-1838	1582-4934	"CELL BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)"	4.2	2	56/195	11000
Supply Chain Forum	1625-8312	1624-6039	MANAGEMENT(ESCI)	4.2	2	121/420	11001
Big Data Research	2214-5796	2214-5796	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)"	4.2	1	28/147	11002
JOURNAL OF INTERNATIONAL MARKETING	1069-031X	1547-7215	BUSINESS(SSCI)	4.2	2	105/316	11003
Liquid Crystals Reviews	2168-0396	2168-0418	"CHEMISTRY, PHYSICAL(SCIE);CRYSTALLOGRAPHY(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)"	4.2	1	2/31	11004
Current Opinion in Biomedical Engineering	2468-4511	2468-4511	"ENGINEERING, BIOMEDICAL(SCIE)"	4.2	2	43/124	11005
WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY	0959-3993	1573-0972	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE)	4.2	2	45/177	11006
Endocrinology and Metabolism	2093-596X	2093-5978	ENDOCRINOLOGY & METABOLISM(SCIE)	4.2	2	52/191	11007
JOURNAL OF COMPUTER INFORMATION SYSTEMS	0887-4417	2380-2057	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)"	4.2	2	73/258	11008
Therapeutic Advances in Medical Oncology	1758-8340	1758-8359	ONCOLOGY(SCIE)	4.2	2	89/326	11009
CURRENT HISTORY	0011-3530	1944-785X	INTERNATIONAL RELATIONS(SSCI);POLITICAL SCIENCE(SSCI)	4.2	1	6/169	11010
ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY	1387-585X	1573-2975	ENVIRONMENTAL SCIENCES(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)	4.2	2	125/374	11011
FEBS Journal	1742-464X	1742-4658	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	4.2	2	99/319	11012
Gastroenterology Report	2052-0034	2052-0034	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	4.2	1	32/147	11013
Journal of Clinical and Translational Hepatology	2225-0719	2310-8819	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	4.2	1	32/147	11014
Computers	2073-431X	2073-431X	"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)"	4.2	2	59/175	11015
CHEMICAL COMMUNICATIONS	1359-7345	1364-548X	"CHEMISTRY, MULTIDISCIPLINARY(SCIE)"	4.2	2	84/239	11016
MEDIATORS OF INFLAMMATION	0962-9351	1466-1861	CELL BIOLOGY(SCIE);IMMUNOLOGY(SCIE)	4.2	2	61/183	11017
ADVANCED POWDER TECHNOLOGY	0921-8831	1568-5527	"ENGINEERING, CHEMICAL(SCIE)"	4.2	2	56/175	11018
ELECTROCHEMISTRY COMMUNICATIONS	1388-2481	1873-1902	ELECTROCHEMISTRY(SCIE)	4.2	2	16/44	11019
JOURNAL OF FOOD BIOCHEMISTRY	0145-8884	1745-4514	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);FOOD SCIENCE & TECHNOLOGY(SCIE)	4.2	2	52/181	11020
Journal of Sustainable Cement-Based Materials	2165-0373	2165-0381	"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)"	4.2	1	20/95	11021
SUPERCONDUCTOR SCIENCE & TECHNOLOGY	0953-2048	1361-6668	"PHYSICS, APPLIED(SCIE);PHYSICS, CONDENSED MATTER(SCIE)"	4.2	2	60/187	11022
Results in Chemistry	2211-7156	2211-7156	"CHEMISTRY, MULTIDISCIPLINARY(ESCI)"	4.2	2	84/239	11023
Catalysis Science & Technology	2044-4753	2044-4761	"CHEMISTRY, PHYSICAL(SCIE)"	4.2	2	80/185	11024
JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES	0950-4230	1873-3352	"ENGINEERING, CHEMICAL(SCIE)"	4.2	2	56/175	11025
Frontiers in Chemistry	2296-2646	2296-2646	"CHEMISTRY, MULTIDISCIPLINARY(SCIE)"	4.2	2	84/239	11026
JOURNAL OF ARCHAEOLOGICAL RESEARCH	1059-0161	1573-7756	ANTHROPOLOGY(SSCI);ARCHAEOLOGY(AHCI)	4.1	1	2/141	11027
Criminology & Public Policy	1538-6473	1745-9133	CRIMINOLOGY & PENOLOGY(SSCI)	4.1	1	4/111	11028
MILBANK QUARTERLY	0887-378X	1468-0009	HEALTH CARE SCIENCES & SERVICES(SCIE);HEALTH POLICY & SERVICES(SSCI)	4.1	1	9/124	11029
Journal of Responsible Innovation	2329-9460	2329-9037	ETHICS(SSCI);HISTORY & PHILOSOPHY OF SCIENCE(SSCI);MANAGEMENT(SSCI);SOCIAL ISSUES(SSCI)	4.1	1	2/112	11030
Women and Birth	1871-5192	1878-1799	"NURSING(SCIE, SSCI);OBSTETRICS & GYNECOLOGY(SCIE)"	4.1	1	5/192	11031
CBE-Life Sciences Education	1931-7913	1931-7913	"EDUCATION, SCIENTIFIC DISCIPLINES(SCIE)"	4.1	1	10/86	11032
JOURNAL OF PEST SCIENCE	1612-4758	1612-4766	ENTOMOLOGY(SCIE)	4.1	1	5/110	11033
BEST PRACTICE & RESEARCH CLINICAL OBSTETRICS & GYNAECOLOGY	1521-6934	1532-1932	OBSTETRICS & GYNECOLOGY(SCIE)	4.1	1	11/140	11034
SCIENCE COMMUNICATION	1075-5470	1552-8545	COMMUNICATION(SSCI)	4.1	1	14/227	11035
JOURNAL OF SCHOOL PSYCHOLOGY	0022-4405	1873-3506	"PSYCHOLOGY, EDUCATIONAL(SSCI)"	4.1	1	8/74	11036
READING RESEARCH QUARTERLY	0034-0553	1936-2722	"EDUCATION & EDUCATIONAL RESEARCH(SSCI);PSYCHOLOGY, EDUCATIONAL(SSCI)"	4.1	1	48/756	11037
Nonlinear Analysis-Hybrid Systems	1751-570X	1878-7460	"AUTOMATION & CONTROL SYSTEMS(SCIE);MATHEMATICS, APPLIED(SCIE)"	4.1	1	5/343	11038
JOURNAL OF TEACHER EDUCATION	0022-4871	1552-7816	EDUCATION & EDUCATIONAL RESEARCH(SSCI)	4.1	1	48/756	11039
Journal of Marketing Education	0273-4753	1552-6550	EDUCATION & EDUCATIONAL RESEARCH(ESCI)	4.1	1	48/756	11040
Clinical Psychological Science	2167-7026	2167-7034	"PSYCHIATRY(SCIE);PSYCHOLOGY(SCIE);PSYCHOLOGY, CLINICAL(SSCI)"	4.1	1	21/185	11041
Journal of Esthetic and Restorative Dentistry	1496-4155	1708-8240	"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)"	4.1	1	12/162	11042
ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS	0955-7997	1873-197X	"ENGINEERING, MULTIDISCIPLINARY(SCIE);MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE)"	4.1	1	13/136	11043
World Journal of Mens Health	2287-4208	2287-4690	ANDROLOGY(SCIE);UROLOGY & NEPHROLOGY(SCIE)	4.1	1	45665	11044
ACM Transactions on Internet Technology	1533-5399	1557-6051	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)"	4.1	1	23/128	11045
INFECTIOUS DISEASE CLINICS OF NORTH AMERICA	0891-5520	1557-9824	IMMUNOLOGY(SCIE);INFECTIOUS DISEASES(SCIE)	4.1	1	26/137	11046
Gynecologic Oncology	0090-8258	1095-6859	OBSTETRICS & GYNECOLOGY(SCIE);ONCOLOGY(SCIE)	4.1	1	11/140	11047
HEALTH & PLACE	1353-8292	1873-2054	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)"	4.1	1	50/419	11048
ULTRASONICS	0041-624X	1874-9968	"ACOUSTICS(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)"	4.1	1	5/41	11049
DENTOMAXILLOFACIAL RADIOLOGY	0250-832X	1476-542X	"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)"	4.1	1	12/162	11050
European Journal of Psychotraumatology	2000-8198	2000-8066	"PSYCHIATRY(SSCI);PSYCHOLOGY, CLINICAL(SSCI)"	4.1	1	21/185	11051
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY	0363-6135	1522-1539	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);PERIPHERAL VASCULAR DISEASE(SCIE);PHYSIOLOGY(SCIE)	4.1	1	13/87	11052
JOURNAL OF MONETARY ECONOMICS	0304-3932	1873-1295	"BUSINESS, FINANCE(SSCI);ECONOMICS(SSCI)"	4.1	1	72/617	11053
IEEE Consumer Electronics Magazine	2162-2248	2162-2256	"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TELECOMMUNICATIONS(SCIE)"	4.1	1	13/60	11054
Head & Neck Pathology	1936-055X	1936-0568	PATHOLOGY(ESCI)	4.1	1	11/90	11055
JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE	1099-3460	1468-2869	"MEDICINE, GENERAL & INTERNAL(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)"	4.1	1	50/419	11056
Therapeutic Advances in Neurological Disorders	1756-2856	1756-2864	CLINICAL NEUROLOGY(SCIE)	4.1	1	50/285	11057
ATOMIC DATA AND NUCLEAR DATA TABLES	0092-640X	1090-2090	"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL(SCIE);PHYSICS, NUCLEAR(SCIE)"	4.1	1	45769	11058
SEMINARS IN HEMATOLOGY	0037-1963	1532-8686	HEMATOLOGY(SCIE)	4.1	1	21/98	11059
Environmental Communication-A Journal of Nature and Culture	1752-4032	1752-4040	COMMUNICATION(SSCI);ENVIRONMENTAL STUDIES(SSCI)	4.1	1	14/227	11060
JOURNAL OF SYSTEMS ARCHITECTURE	1383-7621	1873-6165	"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)"	4.1	1	23/128	11061
BIOINORGANIC CHEMISTRY AND APPLICATIONS	1565-3633	1687-479X	"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CHEMISTRY, INORGANIC & NUCLEAR(SCIE);CHEMISTRY, ORGANIC(SCIE)"	4.1	1	7/57	11062
Annals of Tourism Research Empirical Insights	2666-9579	2666-9579	"HOSPITALITY, LEISURE, SPORT & TOURISM(ESCI)"	4.1	1	27/139	11063
JMIR Serious Games	2291-9279	2291-9279	"HEALTH CARE SCIENCES & SERVICES(SCIE);MEDICAL INFORMATICS(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)"	4.1	1	50/419	11064
JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH	2169-9313	2169-9356	GEOCHEMISTRY & GEOPHYSICS(SCIE)	4.1	1	11/100	11065
JOURNAL OF PLANT PHYSIOLOGY	0176-1617	1618-1328	PLANT SCIENCES(SCIE)	4.1	1	45/273	11066
PLANT AND SOIL	0032-079X	1573-5036	AGRONOMY(SCIE);PLANT SCIENCES(SCIE);SOIL SCIENCE(SCIE)	4.1	1	15/129	11067
Bulletin of Earthquake Engineering	1570-761X	1573-1456	"ENGINEERING, GEOLOGICAL(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE)"	4.1	1	47/258	11068
IEEE Industrial Electronics Magazine	1932-4529	1941-0115	"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)"	4.1	2	111/366	11069
PSYCHOLOGICAL INQUIRY	1047-840X	1532-7965	"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)"	4.1	1	25/221	11070
JOURNAL OF SYSTEMS AND SOFTWARE	0164-1212	1873-1228	"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)"	4.1	1	23/128	11071
Plants-Basel	2223-7747	2223-7747	PLANT SCIENCES(SCIE)	4.1	1	45/273	11072
Translational Oncology	1936-5233	1936-5233	ONCOLOGY(SCIE)	4.1	2	91/326	11073
URBAN STUDIES	0042-0980	1360-063X	ENVIRONMENTAL STUDIES(SSCI);URBAN STUDIES(SSCI)	4.1	1	11/76	11074
JOURNAL OF HYPERTENSION	0263-6352	1473-5598	PERIPHERAL VASCULAR DISEASE(SCIE)	4.1	1	20/98	11075
Career Development International	1362-0436	1758-6003	"MANAGEMENT(SSCI);PSYCHOLOGY, APPLIED(SSCI)"	4.1	1	21/115	11076
Metabolic Engineering Communications	2214-0301	2214-0301	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(ESCI)	4.1	2	48/177	11077
TOXICOLOGICAL SCIENCES	1096-6080	1096-0929	TOXICOLOGY(SCIE)	4.1	1	23/106	11078
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS	1386-5056	1872-8243	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);HEALTH CARE SCIENCES & SERVICES(SCIE);MEDICAL INFORMATICS(SCIE)"	4.1	1	26/185	11079
Management of Environmental Quality	1477-7835	1758-6119	ENVIRONMENTAL STUDIES(ESCI)	4.1	2	52/191	11080
HISTOPATHOLOGY	0309-0167	1365-2559	CELL BIOLOGY(SCIE);PATHOLOGY(SCIE)	4.1	1	11/90	11081
PLANT SCIENCE	0168-9452	1873-2259	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);PLANT SCIENCES(SCIE)	4.1	1	45/273	11082
Cluster Computing-The Journal of Networks Software Tools and Applications	1386-7857	1573-7543	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)"	4.1	1	30/147	11083
Global Change Biology Bioenergy	1757-1693	1757-1707	AGRONOMY(SCIE);ENERGY & FUELS(SCIE)	4.1	1	15/129	11084
BIOGERONTOLOGY	1389-5729	1573-6768	GERIATRICS & GERONTOLOGY(SCIE)	4.1	2	19/73	11085
Japanese Journal of Radiology	1867-1071	1867-108X	"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)"	4.1	1	32/212	11086
EXPERT OPINION ON INVESTIGATIONAL DRUGS	1354-3784	1744-7658	PHARMACOLOGY & PHARMACY(SCIE)	4.1	1	79/352	11087
Journal of Taibah University for Science	1658-3655	1658-3655	MULTIDISCIPLINARY SCIENCES(SCIE)	4.1	1	22/135	11088
Service Business	1862-8516	1862-8508	BUSINESS(SSCI);MANAGEMENT(SSCI)	4.1	2	126/420	11089
European Journal of Medicinal Chemistry Reports	2772-4174	2772-4174	"CHEMISTRY, MEDICINAL(ESCI)"	4.1	2	24/72	11090
ACM Transactions on the Web	1559-1131	1559-114X	"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)"	4.1	1	23/128	11091
JOURNAL OF LIPID RESEARCH	0022-2275	1539-7262	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	4.1	2	104/319	11092
MANAGEMENT INTERNATIONAL REVIEW	0938-8249	1861-8901	MANAGEMENT(SSCI)	4.1	2	126/420	11093
PHYSICS AND CHEMISTRY OF THE EARTH	1474-7065	1873-5193	"GEOSCIENCES, MULTIDISCIPLINARY(SCIE);METEOROLOGY & ATMOSPHERIC SCIENCES(SCIE);WATER RESOURCES(SCIE)"	4.1	1	47/258	11094
Computational and Structural Biotechnology Journal	2001-0370	2001-0370	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	4.1	2	104/319	11095
INTERNATIONAL BIODETERIORATION & BIODEGRADATION	0964-8305	1879-0208	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);ENVIRONMENTAL SCIENCES(SCIE)	4.1	2	48/177	11096
XENOTRANSPLANTATION	0908-665X	1399-3089	"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);TRANSPLANTATION(SCIE)"	4.1	1	45869	11097
CNS SPECTRUMS	1092-8529	2165-6509	CLINICAL NEUROLOGY(SCIE);PSYCHIATRY(SCIE)	4.1	1	49/288	11098
Journal of Brand Management	1350-231X	1479-1803	BUSINESS(SSCI);MANAGEMENT(SSCI)	4.1	2	126/420	11099
REVIEWS IN THE NEUROSCIENCES	0334-1763	2191-0200	NEUROSCIENCES(SCIE)	4.1	1	75/314	11100
Journal of Electroanalytical Chemistry	1572-6657	1873-2569	"CHEMISTRY, ANALYTICAL(SCIE);ELECTROCHEMISTRY(SCIE)"	4.1	1	25/111	11101
Social Responsibility Journal	1747-1117	1758-857X	MANAGEMENT(ESCI)	4.1	2	126/420	11102
Therapeutic Advances in Musculoskeletal Disease	1759-720X	1759-7218	RHEUMATOLOGY(SCIE)	4.1	1	13/58	11103
EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT	1015-5759	2151-2426	"PSYCHOLOGY, APPLIED(SSCI)"	4.1	1	21/115	11104
Journal of Inflammation-London	1476-9255	1476-9255	IMMUNOLOGY(SCIE)	4.1	2	62/183	11105
JOURNAL OF NEUROENDOCRINOLOGY	0953-8194	1365-2826	ENDOCRINOLOGY & METABOLISM(SCIE);NEUROSCIENCES(SCIE)	4.1	1	75/314	11106
SEMINARS IN THROMBOSIS AND HEMOSTASIS	0094-6176	1098-9064	HEMATOLOGY(SCIE);PERIPHERAL VASCULAR DISEASE(SCIE)	4.1	1	20/98	11107
ONCOLOGY RESEARCH	0965-0407	1555-3906	ONCOLOGY(SCIE)	4.1	2	91/326	11108
Earthquake Science	1674-4519	1867-8777	GEOCHEMISTRY & GEOPHYSICS(ESCI)	4.1	1	11/100	11109
APL Bioengineering	2473-2877	2473-2877	"ENGINEERING, BIOMEDICAL(SCIE)"	4.1	2	45/124	11110
Advanced Pharmaceutical Bulletin	2228-5881	2251-7308	PHARMACOLOGY & PHARMACY(ESCI)	4.1	1	79/352	11111
Egyptian Journal of Remote Sensing and Space Sciences	1110-9823	2090-2476	ENVIRONMENTAL SCIENCES(SCIE);REMOTE SENSING(SCIE)	4.1	2	20/65	11112
Tissue Engineering and Regenerative Medicine	1738-2696	2212-5469	"CELL & TISSUE ENGINEERING(SCIE);ENGINEERING, BIOMEDICAL(SCIE)"	4.1	2	45/124	11113
Clinics in Liver Disease	1089-3261	1557-8224	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	4.1	1	34/147	11114
ECOLOGICAL ENGINEERING	0925-8574	1872-6992	"ECOLOGY(SCIE);ENGINEERING, ENVIRONMENTAL(SCIE);ENVIRONMENTAL SCIENCES(SCIE)"	4.1	1	36/200	11115
International Journal of Tryptophan Research	1178-6469	1178-6469	NEUROSCIENCES(ESCI)	4.1	1	75/314	11116
MECHANICS OF MATERIALS	0167-6636	1872-7743	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);MECHANICS(SCIE)"	4.1	1	31/171	11117
Frontiers in Synaptic Neuroscience	1663-3563	1663-3563	NEUROSCIENCES(SCIE)	4.1	1	75/314	11118
Nanoscale Research Letters	1931-7573	1556-276X	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHYSICS, APPLIED(SCIE)"	4.1	2	61/187	11119
Recent Patents on Anti-Cancer Drug Discovery	1574-8928	2212-3970	ONCOLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	4.1	1	79/352	11120
Tropical Cyclone Research and Review	2225-6032	2225-6032	METEOROLOGY & ATMOSPHERIC SCIENCES(ESCI)	4.1	2	31/111	11121
JOURNAL OF PARENTERAL AND ENTERAL NUTRITION	0148-6071	1941-2444	NUTRITION & DIETETICS(SCIE)	4.1	2	29/112	11122
BIOMEDICAL AND ENVIRONMENTAL SCIENCES	0895-3988	2214-0190	"ENVIRONMENTAL SCIENCES(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)"	4.1	1	50/419	11123
HLA	2059-2302	2059-2310	CELL BIOLOGY(SCIE);IMMUNOLOGY(SCIE);PATHOLOGY(SCIE)	4.1	1	11/90	11124
MACROMOLECULAR BIOSCIENCE	1616-5187	1616-5195	"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);MATERIALS SCIENCE, BIOMATERIALS(SCIE);POLYMER SCIENCE(SCIE)"	4.1	2	104/319	11125
JOURNAL OF THE RENIN-ANGIOTENSIN-ALDOSTERONE SYSTEM	1470-3203	1752-8976	PERIPHERAL VASCULAR DISEASE(SCIE)	4.1	1	20/98	11126
Immune Network	1598-2629	2092-6685	IMMUNOLOGY(SCIE)	4.1	2	62/183	11127
Sustainable Energy & Fuels	2398-4902	2398-4902	"CHEMISTRY, PHYSICAL(SCIE);ENERGY & FUELS(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)"	4.1	2	186/460	11128
CLEVELAND CLINIC JOURNAL OF MEDICINE	0891-1150	1939-2869	"MEDICINE, GENERAL & INTERNAL(SCIE)"	4.1	1	44/332	11129
CRITICAL REVIEWS IN TOXICOLOGY	1040-8444	1547-6898	TOXICOLOGY(SCIE)	4.1	1	23/106	11130
AIMS Microbiology	2471-1888	2471-1888	MICROBIOLOGY(ESCI)	4.1	2	49/163	11131
Digital Chemical Engineering	2772-5081	2772-5081	"ENGINEERING, CHEMICAL(ESCI)"	4.1	2	60/175	11132
Biomass Conversion and Biorefinery	2190-6815	2190-6823	"ENERGY & FUELS(SCIE);ENGINEERING, CHEMICAL(SCIE)"	4.1	2	60/175	11133
Emergent Materials	2522-5731	2522-574X	"MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)"	4.1	2	186/460	11134
Analytical Science Advances	2628-5452	2628-5452	"CHEMISTRY, ANALYTICAL(ESCI)"	4.1	1	25/111	11135
Electrochemical Science Advances	2698-5977	2698-5977	ELECTROCHEMISTRY(ESCI)	4.1	2	17/44	11136
Journal of Nanotechnology	1687-9503	1687-9511	NANOSCIENCE & NANOTECHNOLOGY(ESCI)	4.1	2	73/147	11137
Enterprise Modelling and Information Systems Architectures-An International Journal	1866-3621	1866-3621	"ENGINEERING, INDUSTRIAL(ESCI)"	4.1	2	22/69	11138
Ethics and Information Technology	1388-1957	1572-8439	ETHICS(SSCI);INFORMATION SCIENCE & LIBRARY SCIENCE(SSCI);PHILOSOPHY(AHCI)	4	1	6/77	11139
